"ageGroup","genGroup","PersonCountAtRisk","PersonCountWithOutcome","averagePredictedProbability","StDevPredictedProbability","MinPredictedProbability","P25PredictedProbability","P50PredictedProbability","P75PredictedProbability","MaxPredictedProbability","evaluation"
"Age group: 55-59","Female",35605,248,0.00705369561444776,0.00401946534117345,0.00358127161148626,0.00560347843823324,0.00560347843823324,0.00729115308343281,0.142054708735526,"Test"
"Age group: 55-59","Male",25279,190,0.00679080253039102,0.00417385767469867,0.00343929533825777,0.00522966962439116,0.00538176660392215,0.00685232812975915,0.118675275656842,"Test"
"Age group: 60-64","Female",28698,320,0.0115816619252368,0.00622082646543967,0.00589909166684625,0.00921797494787018,0.00921797494787018,0.0120284142238874,0.189751376650071,"Test"
"Age group: 60-64","Male",21635,251,0.0112501524870289,0.00670071670193851,0.00566574999925869,0.00860512916849846,0.00901042196449134,0.0116519482165603,0.198094897863727,"Test"
"Age group: 65-69","Female",24358,469,0.0205905887306956,0.010350004667255,0.010444007752955,0.0162780325520027,0.0165624519968401,0.0218712907594148,0.208374030527235,"Test"
"Age group: 65-69","Male",17789,367,0.0195154188416274,0.00994237832922198,0.010032703891558,0.0155793838085436,0.016658077912977,0.0205375467993427,0.234078873316155,"Test"
"Age group: 70-74","Female",18392,696,0.0395089780385441,0.0181561843787719,0.02016074915882,0.0312511333002098,0.0337460166664742,0.0426437708679049,0.351909590012395,"Test"
"Age group: 70-74","Male",14125,537,0.0373365418812113,0.0174313144089184,0.0193742745577375,0.0300452869243979,0.0327085192197568,0.0396466673209027,0.396410352768082,"Test"
"Age group: 75-79","Female",13083,948,0.0706718365444086,0.028943203419653,0.0363143719131916,0.0557849203544054,0.0608143746512328,0.0763077712238349,0.47608543227891,"Test"
"Age group: 75-79","Male",10293,650,0.0665525849353423,0.0266580940849749,0.0349201993994012,0.0536848814064511,0.0585367383495378,0.0726425148836661,0.394820575392478,"Test"
"Age group: 80-84","Female",20488,3129,0.147305332215948,0.0508739968996292,0.0777404538520493,0.116731813170312,0.131742595460063,0.161187100072897,0.676007788131596,"Test"
"Age group: 80-84","Male",13254,1689,0.137328836310969,0.0447772404364553,0.0748794386945929,0.112611046702192,0.122101304514999,0.149167103103582,0.6367708047282,"Test"
"Age group: 55-59","Female",106298,679,0.00704695384786102,0.00409107121264434,0.00358127161148626,0.00560347843823324,0.00560347843823324,0.00731325151676715,0.192828202173369,"Train"
"Age group: 55-59","Male",76394,589,0.00683031255700795,0.00428833415225898,0.00343929533825777,0.00522966962439116,0.00538176660392215,0.00693145456302131,0.164200299637297,"Train"
"Age group: 60-64","Female",86766,906,0.0115591587816872,0.00616358559739922,0.00589909166684625,0.00921797494787018,0.00921797494787018,0.0120381661516699,0.197166567247254,"Train"
"Age group: 60-64","Male",64754,821,0.0112380564966927,0.00658741439676679,0.00566574999925869,0.00863592378958682,0.00901042196449134,0.0116021375197056,0.22081000434752,"Train"
"Age group: 65-69","Female",72610,1429,0.0204955200963092,0.0102554917953366,0.010444007752955,0.0162780325520027,0.0163947412997989,0.0217718321421984,0.303723400533291,"Train"
"Age group: 65-69","Male",54488,1122,0.0196029107061593,0.00997576382485872,0.010032703891558,0.0156406056970737,0.0168567737850103,0.0206085696644977,0.346492386663351,"Train"
"Age group: 70-74","Female",55141,2140,0.0393626002082296,0.0178961185169085,0.02016074915882,0.0312511333002098,0.03384285666245,0.0426437708679049,0.358076036692094,"Train"
"Age group: 70-74","Male",42657,1620,0.0375239941611535,0.0169231757830927,0.0193742745577375,0.0300452869243979,0.0328348078627273,0.0404098301873874,0.458875289089568,"Train"
"Age group: 75-79","Female",39422,2760,0.0704365824432136,0.0291536916421171,0.0363143719131916,0.0557849203544054,0.0608143746512328,0.076032085638553,0.683276165043566,"Train"
"Age group: 75-79","Male",30186,2036,0.0664099824506414,0.0263370796509483,0.0349201993994012,0.0536848814064511,0.0585367383495378,0.0726425148836661,0.65623832684247,"Train"
"Age group: 80-84","Female",60940,9377,0.146656833703717,0.0497606710394983,0.0777404538520493,0.116731813170312,0.131742595460063,0.16048198461348,0.660177387130362,"Train"
"Age group: 80-84","Male",39344,5005,0.138174724205876,0.0448853430205137,0.0748794386945929,0.112611046702192,0.122226146756098,0.150703077577885,0.644082426885122,"Train"
